,Ts,P1,P2,P3,P4,P5,Ts_last,P_tot
0,84.9414427340268,-202681.9397,-208289.6318,-201950.5016,-209264.8826,-202194.3143,84.3680440849659,1044266.0289137512
1,85.0091517563909,-202681.9397,-208289.6318,-201950.5016,-209264.8826,-202194.3143,84.3680275580118,1047374.3603853157
2,84.9858017592876,-202681.9397,-208289.6318,-201950.5016,-209264.8826,-202194.3143,84.3680144674715,1046282.9394945246
3,84.9579496698826,-202681.9397,-208289.6318,-201950.5016,-209264.8826,-202194.3143,84.3680092232396,1044995.5288059049
4,84.9543492692792,-202681.9397,-208289.6318,-201950.5016,-209264.8826,-202194.3143,84.3680185457151,1044835.8074278863
5,85.0097061581496,-202681.9397,-208289.6318,-201950.5016,-209264.8826,-202194.3143,84.368045835083,1047396.052833166
6,84.948187906638,-202681.9397,-208289.6318,-201950.5016,-209264.8826,-202194.3143,84.3680866226955,1044546.8961404257
7,84.910019660147,-202681.9397,-208289.6318,-201950.5016,-209264.8826,-202194.3143,84.3681296730932,1042785.2694790796
8,84.9680505195964,-202681.9397,-208289.6318,-201950.5016,-209264.8826,-202194.3143,84.3681643513348,1045469.3514293126
9,84.9915013300044,-206122.7144,-218924.7536,-204452.8832,-221151.1952,-205009.4936,84.3688317072596,1073811.139139372
10,84.9550081416047,-206122.7144,-218924.7536,-204452.8832,-221151.1952,-205009.4936,84.3694736774304,1072511.8211731957
11,84.9586923778548,-206122.7144,-218924.7536,-204452.8832,-221151.1952,-205009.4936,84.3700923992804,1073277.3884979447
12,84.9310987348072,-206122.7144,-218924.7536,-204452.8832,-221151.1952,-205009.4936,84.3707007772182,1072513.5105898636
13,84.9391978053242,-206122.7144,-218924.7536,-204452.8832,-221151.1952,-205009.4936,84.3712950061723,1073343.6226124642
14,85.0083078334755,-206122.7144,-218924.7536,-204452.8832,-221151.1952,-205009.4936,84.3718617732892,1076977.2662097479
