,Ts,P1,P2,P3,P4,P5,Ts_last,P_tot
0,68.1409675263743,-121714.9669,-167118.9886,-115792.7032,-175015.3402,-117766.7911,69.3422663437768,630291.6264504137
1,68.1770072621,-121714.9669,-167118.9886,-115792.7032,-175015.3402,-117766.7911,69.0348456362216,641698.5845994774
2,68.1888509199121,-121714.9669,-167118.9886,-115792.7032,-175015.3402,-117766.7911,68.788177024972,650748.062141019
3,68.1421911680829,-121714.9669,-167118.9886,-115792.7032,-175015.3402,-117766.7911,68.5918641200712,654974.6658896643
4,68.1503116565448,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,68.4363843768762,660262.6468119884
5,68.1473332097545,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,68.3132023260885,665403.4455212408
6,68.1442687179076,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,68.2155817801258,670013.4543386792
7,68.1662902113278,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,68.1387678826838,676062.4426717887
8,68.1657460636536,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,68.0789690618656,680089.5476222805
9,68.158977373415,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,68.0329609473475,683204.6060453344
10,68.1710197274236,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,67.9979505109623,687200.8144877952
11,68.1568128165991,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,67.971552675502,688874.9978757054
12,68.1543322919859,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,67.9517917562579,690983.6162363968
13,68.1711081878565,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,67.9370767972839,694100.3227175309
14,68.1713939260266,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,67.9261607723419,695725.2765896172
15,68.1830620469389,-120902.6521,-164608.1974,-115201.9288,-172209.1618,-117102.1699,67.9180847793162,697887.934167591
16,68.204638387835,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.912128538907,700387.0611030263
17,68.1405196733336,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.9077500669877,696653.4700091538
18,68.1480055105092,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.9045657780746,697871.7835599948
19,68.2050856872517,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.9023018116009,702500.8085894329
20,69.365789555458,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.9007344944935,785368.4207419392
21,69.3149647366419,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.8998409127544,776526.369546823
22,69.3098530832953,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.9004271599885,768074.1396677659
23,69.3273754092698,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.9077547220081,761318.9934350679
24,69.3160982872037,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.9345534205784,753613.2203546163
25,69.3417658096638,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,67.9938989621189,749731.6738159175
26,69.3305864636866,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,68.0893868678344,744138.7550597123
27,69.2893044179759,-120861.4582,-164480.8708,-115171.9696,-172066.8556,-117068.4658,68.2129050466094,736929.9723256343
28,69.3334394608824,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,68.3484213322102,666196.9611238507
29,69.268536519932,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,68.4813585136946,646082.5007312482
30,69.3101998941115,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,68.6053720807251,631998.8828502857
31,69.3572986341532,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,68.7132024188423,620917.1651640023
32,69.3236387430062,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,68.8017279142256,607154.0503455546
33,69.3478178899361,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,68.8712060098745,598712.8478673175
34,69.3792236998122,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,68.9237485629413,592033.5834534462
35,69.3211548636779,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,68.9622020277471,580896.9696464807
36,69.3193276842419,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,68.9894875690362,574353.3431976786
37,69.3547442927251,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,69.0082685844281,571166.4971267831
38,69.3103225230103,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,69.020808286176,563960.1737691887
39,69.3276378151503,-103967.623,-112263.562,-102885.544,-113706.334,-103246.237,69.0289258371373,561485.1057617663
40,69.3435693379995,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0339850569256,554243.8404552363
41,69.358092295494,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0370175984239,552156.5897128372
42,69.3414588296336,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0387660820041,548572.6176562075
43,69.3343597788186,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0396955090022,546141.023990661
44,69.2997903057302,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0401013817859,542483.471035323
45,69.3273202861555,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0401735032251,543037.2326661044
46,69.3286517751371,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0400490282701,542226.7874865573
47,69.3035636838795,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0398215464226,539976.6799666425
48,69.3380576468389,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0395369184838,541566.0582316958
49,69.3173313575695,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0392139199166,539864.7316101558
50,69.3333031759586,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0388704035826,540526.277533312
51,69.3360610995993,-102766.4956,-108550.9864,-102011.9968,-109556.9848,-102263.4964,69.0385305692377,540457.24078716
52,69.3237471095182,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,69.0382098231036,536144.1062932602
53,75.0727926623097,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,69.037935955322,888943.8519357182
54,75.0840338666343,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,69.0378898815629,868242.4508283467
55,75.0802525599327,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,69.0394457000147,821037.5538788557
56,75.0900641544473,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,69.0529865060694,779593.5910287438
57,75.0819131319344,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,69.1170903586193,745635.0907431904
58,75.0889385800564,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,69.2931126029855,718404.0952664338
59,75.085114122825,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,69.6217948008504,694161.1935257625
60,75.075813750916,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,70.0901379168789,672080.639699278
61,75.0429439206909,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,70.6437788808689,651160.0453938128
62,75.0397183266001,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,71.2208999399521,634042.0042828118
63,75.0635069161957,-102019.9465,-106243.471,-101469.052,-106977.997,-101652.6835,71.774418475603,620520.0521396461
64,74.9652863068177,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,72.2767952162859,604105.3771945818
65,74.9433326236755,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,72.7157381940285,592760.6312281361
66,74.9914866098397,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,73.0890009457448,586451.2604329769
67,74.9613756660606,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,73.3998978324931,578160.0022197926
68,74.9361221157106,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,73.6544279142032,571156.1651554353
69,74.9647336334497,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,73.8595029538657,567337.1623955966
70,74.9722869952636,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,74.0220025301024,563289.1627239966
71,74.9766428846186,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,74.1483820997464,559706.7698263079
72,74.9967216693213,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,74.2445695383981,557330.4017975923
73,75.0048144057073,-102074.8717,-106413.2398,-101508.9976,-107167.7386,-101697.6223,74.3159571618212,554882.1126664936
